,Topic,Count,Name,Representation,Representative_Docs
10,9,118,9_فوتبال_تیم_صدا_برنامه,"['فوتبال', 'تیم', 'صدا', 'برنامه', 'باشگاه', 'سیما', 'عادل', 'استقلال', 'شبکه', 'پخش']","['  درخواست بازگشت عادل فردوسی\u200cپور و برنامه ۹۰ به شبکه سوم سیما', '  درخواست از صدا و سیما برای بازگشت عادل فردوسی\u200cپور به برنامه نود', '  درخواست حمایت از تیم فوتبال پرسپولیس']"
11,10,117,10_نه_پویش_به_کمپین,"['نه', 'پویش', 'به', 'کمپین', 'انتقام', 'رودخانه', 'زنده', 'ایران', 'حیوانات', 'آب']","['  نه به باغ وحش', '  نه به فروش حیوانات', '  پویش نه به گرانی']"
12,11,90,11_ین_امضا_کمپین_جمع,"['ین', 'امضا', 'کمپین', 'جمع', 'آوری', 'های', '', '', '', '']","['ین کمپین\u200cهای جمع آوری امضا', 'ین کمپین\u200cهای جمع آوری امضا', 'ین کمپین\u200cهای جمع آوری امضا']"
13,12,72,12_محکومیت_مجازات_بیانیه_شهید,"['محکومیت', 'مجازات', 'بیانیه', 'شهید', 'قاسم', 'حاج', 'محاکمه', 'فخری', 'سلیمانی', 'عاملان']","['  بیانیه اساتید، دانشمندان، دانشگاهیان و پژوهشگران کشور در محکومیت ترور شهید فخری\u200cزاده', '  محکومیت ترور سردار دل\u200cها، حاج قاسم سلیمانی', '  بیانیه اساتید دانشگاه\u200cهای آزاد اسلامی استان لرستان در محکومیت ترور دانشمند هسته\u200cای شهید والامقام محسن فخری\u200cزاده']"
14,13,56,13_اتباع_غیر_مجاز_خارج,"['اتباع', 'غیر', 'مجاز', 'خارج', 'افغان', 'اخراج', 'خروج', 'افغانستانی', 'مهاجرین', 'ورود']","['  درخواست اخراج اتباع غیر قانونی افغان از ایران', '  درخواست اخراج اتباع افغان غیر مجاز از کشور', '  درخواست کنترل ورود اتباع غیر مجاز افغانستانی و ساماندهی مهاجران غیرقانونی در ایران']"
15,14,52,14_سخت_مشاغل_زیان_آور,"['سخت', 'مشاغل', 'زیان', 'آور', 'شغل', 'زمره', 'قرار', 'گرفتن', 'قرارگرفتن', 'احتساب']","['  درخواست قرار گرفتن شغل اورژانس ۱۱۵ در زمره مشاغل سخت و زیان\u200cآور', '  درخواست قرارگرفتن شغل حسابداری در زمره مشاغل سخت و زیان\u200cآور', '  مطالبه قرار گرفتن شغل کارشناسان بهداشت محیط در زمره مشاغل سخت و زیان\u200cآور']"
16,15,41,15_مترجمان_out_توافق_نامه,"['مترجمان', 'out', 'توافق', 'نامه', 'دولت', 'ایران', '', '', '', '']","['  دولت ایران', '  توافق\u200cنامه مترجمان', 'out']"
17,16,32,16_روز_تقویم_ثبت_عنوان,"['روز', 'تقویم', 'ثبت', 'عنوان', 'ملی', 'اردیبهشت', 'رسمی', 'نام', 'آواز', 'بزرگداشت']","['  درخواست ثبت روز پسر در تقویم ملی', '  درخواست ثبت روز ملی محیط\u200cبان در تقویم رسمی کشور', '  درخواست ثبت روز ملی اورژانس در تقویم رسمی کشور']"
18,17,31,17_وزیر_آموزش_پرورش_استیضاح,"['وزیر', 'آموزش', 'پرورش', 'استیضاح', 'فرهنگ', 'ارشاد', 'وزارت', 'وزارتخانه', 'انتخاب', 'شهرسازی']","['  درخواست استیضاح وزیر آموزش و\u200c پرورش', '  درخواست استیضاح وزیر آموزش و پرورش', '  درخواست استیضاح وزیر آموزش و پرورش']"
19,18,29,18_امام_ره_خمینی_عفاف,"['امام', 'ره', 'خمینی', 'عفاف', 'حجاب', 'رضا', 'بندر', 'بسیج', 'مناسبت', 'بسیجیان']","['  درخواست موافقت با شهرستان\u200c شدن بندر امام خمینی (ره)', '  مطالبه شهرستان شدن بخش بندر امام خمینی (ره)', '  درخواست اعلام شهرستان شدن بندر امام خمینی (ره)']"
20,19,26,19_تورم_افزایش_حقوق_اساس,"['تورم', 'افزایش', 'حقوق', 'اساس', 'نرخ', 'متناسب', 'کارمندان', 'دستمزد', 'کارگران', 'سال']","['  درخواست افزایش حقوق کارمندان دولت متناسب با افزایش تورم', '  درخواست افزایش حقوق کارمندان دولت بر اساس تورم', '  درخواست افزایش حقوق کارکنان و کارمندان دولت بر اساس نرخ تورم']"
21,20,21,20_تحت_قرار_پوشش_بیمه,"['تحت', 'قرار', 'پوشش', 'بیمه', 'گرفتن', 'روان', 'خدمات', 'درمانی', 'شناسی', 'نمایندگان']","['  درخواست تحت پوشش بیمه قرار گرفتن خدمات روان درمانی', '  درخواست تحت پوشش بیمه تأمین اجتماعی قرار گرفتن نمایندگان بیمه', '  درخواست تحت پوشش  بیمه تأمین اجتماعی قرار گرفتن نمایندگان بیمه']"
22,21,12,21_شماره_مورخ_بخشنامه_۱۲,"['شماره', 'مورخ', 'بخشنامه', '۱۲', '۰۵', '۳۰۶۱', 'مورخه', '۷۹۵۳۴', '۰۶', 'رساله']","['  درخواست لغو بخشنامه ۱۰/۷۹۵۳۴ مورخ ۹۸/۱۲/۷ با موضوع دفاع از رساله دکتری تخصصی دانشجویان دانشگاه آزاد', '  اعتراض به بخشنامه جدیدالصدور به شماره ۷۹۵۳۴/۱۰ مورخه ۹۸/۱۲/۰۷ در خصوص دفاع از رساله دکتری', '  درخواست اعمال ماده ۹۲ «قانون دیوان عدالت اداری» در خصوص بخشنامه شماره ۳۰۶۱ مورخ ۱۴۰۳/۰۵/۰۳ معاون آموزشی وزارت بهداشت']"
23,22,12,22_را_کنید_دهید_نجات,"['را', 'کنید', 'دهید', 'نجات', 'نکنید', 'تعطیل', 'متوقف', 'ها', 'طبیعت', 'باشید']","['  آقای رئیس جمهور، رزیدنت\u200cها را نجات دهید', '  تعرض به بوستان\u200cها را متوقف کنید!', '  دانشگاه هنر را نجات دهید!']"
24,23,11,23_سهام_عدالت_جاماندگان_ثبت,"['سهام', 'عدالت', 'جاماندگان', 'ثبت', 'نام', 'بازماندگان', 'پرتفوی', 'نزد', 'امکان', 'خرید']","['  درخواست ثبت\u200cنام مجدد سهام عدالت', '  درخواست ثبت\u200cنام جاماندگان یارانه و سهام عدالت', '  درخواست ثبت\u200cنام جاماندگان سهام عدالت']"
